,Title,Company,Location,Salary,Job Url,Snippet,Seniority,Average
2,Warehouse and Logistics Manager,C&L Decor,Quezon City,"PHP 30,000 - PHP 50,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPjJh3e_C8Hpj09W9kDkiRCW2s-8HdmgLim24qEz8j1n5j9IkPurGRpYs792OauQZZsvxCcUZpGn7E2O7q4WaS2iUqQBfyfmcUXs1AHsot_5xiYhinn2PdVqtcFRmHDLHvfQZYM3Nx0FTOZSqhSbSFykii9YdcZPd5Zn8OkXr9vBCzSfXoFxCLMpuctlPg6zJ69CyuSklYi5HUgKEAHSdbXYMbHNLEIKgvjoO0qLwssj4SD82DpZQjQxItkLhUt98qWTON8VrToA_XKs8pdRk_S3mUzNvxC9DE8q5Zh5Ht1ujlU9Xepv3oys=&p=2&fvj=1&vjs=3,Overall in charge of warehouse and logistics team.,middle_level,40000.0
692,GRAPHIC DESIGNER,C-FORCE OUTSOURCING,Remote,"PHP 17,000 - PHP 20,000 a month",https://ph.indeed.com/company/C--FORCE-OUTSOURCING/jobs/Graphic-Designer-c956ae8100d4ba52?fccid=b457cd1ab5e5e751&vjs=3,Responsible for creating aesthetically pleasing images that accompany written text.,middle_level,18500.0
588,Graphic & Digital Marketer,CARLCARE SERVICE CENTER,Pasig,"PHP 25,000 - PHP 30,000 a month",https://ph.indeed.com/company/Tecno-Mobile/jobs/Graphic-Digital-Marketer-c695d173400b442c?fccid=b56858a1af680500&vjs=3,"Responsible for the design of Facebook, Instagram, Twitter and other related online channels;",middle_level,27500.0
163,LOGISTICS AND INVENTORY MANAGER,"CASTLE POWER SOLUTIONS PHILIPPINES, INC.",Manila,"PHP 35,000 - PHP 45,000 a month",https://ph.indeed.com/company/CASTLE-POWER-SOLUTIONS-PHILIPPINES-INC./jobs/Logistic-Inventory-Manager-1d4d1fe155b32b75?fccid=eef5b5f8dec8e412&vjs=3,Castle Power is looking for an experienced Logistics and Inventory Manager to join our Team.,senior_level,40000.0
721,Graphic Designer,"CORE HR Business Solutions, Inc.",Taguig,"PHP 30,000 - PHP 50,000 a month","https://ph.indeed.com/company/CORE-HR-Business-Solutions,-Inc./jobs/Graphic-Designer-9bde815a97a7c7a2?fccid=8552a93683de91f7&vjs=3","Responsible for completing the graphic interface design of product-related interfaces, special effect icons, special effect animations, etc., and must have…",middle_level,40000.0
818,Software Developer,Cantier Systems Inc.,Remote,"PHP 25,000 - PHP 40,000 a month",https://ph.indeed.com/company/Cantier-Systems-Inc./jobs/Software-Developer-769dcd14839e87da?fccid=b71039fec0d11903&vjs=3,"Participate in addressing issues related to the software change (bug fixes, tickets, UAT issues, etc.).",middle_level,32500.0
65,STORE MANAGER (Food & Bev Industry),Career Purveyors Co.,Parañaque,"PHP 22,000 - PHP 25,000 a month",https://ph.indeed.com/company/Career-Purveyors-Co./jobs/Store-Manager-0a846f6543a86d4e?fccid=b7032157fd4e9a05&vjs=3,Supporting managers with various tasks.,middle_level,23500.0
54,OPERATIONS MANAGER (Food & Bev Industry),Career Purveyors Co.,Alabang,"PHP 25,000 - PHP 35,000 a month",https://ph.indeed.com/company/Career-Purveyors-Co./jobs/Operation-Manager-6dba3f4425581e90?fccid=b7032157fd4e9a05&vjs=3,"Day-to-day management of the restaurant operations, including administrative oversight of the brewery, commissary and logistic operations.",middle_level,30000.0
939,Senior Software Developer (Home-based),Cased Dimensions/Vizwoz,Remote,"PHP 80,000 - PHP 100,000 a month","https://ph.indeed.com/company/Vizwoz-Software-Development-Systems,-Inc/jobs/Senior-Software-Developer-3f1683001e81f236?fccid=0cbf4a9b29ebeb53&vjs=3","Agile software development, Unit Testing.",senior_level,90000.0
964,Software Developer,Cashbee Lending Services Inc.,Parañaque,"PHP 20,000 - PHP 40,000 a month",https://ph.indeed.com/company/Copperstone-Lending-Inc./jobs/Software-Developer-fba96731e84a9754?fccid=a8c24b87798b330d&vjs=3,Transform approved UI/UX designs to frontend code.,middle_level,30000.0
